IP,Time,URL,Staus
10.130.2.1/5726,29/Nov/2017:13:47:20,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/8163,29/Nov/2017:13:49:25,GET /details.php?id=44 HTTP/1.1,302
10.128.2.1/758,29/Nov/2017:13:49:26,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.128.2.1/1263,29/Nov/2017:13:49:32,GET /home.php HTTP/1.1,200
10.128.2.1/1065,29/Nov/2017:13:49:34,GET /compiler.php HTTP/1.1,200
10.128.2.1/3162,29/Nov/2017:13:49:37,GET /compiler.php HTTP/1.1,200
10.131.2.1/994,29/Nov/2017:13:51:40,GET /logout.php HTTP/1.1,302
10.129.2.1/4514,29/Nov/2017:13:51:41,GET /login.php HTTP/1.1,200
10.129.2.1/737,29/Nov/2017:13:51:44,POST /process.php HTTP/1.1,302
10.131.2.1/8915,29/Nov/2017:13:51:44,GET /home.php HTTP/1.1,200
10.131.2.1/9278,29/Nov/2017:13:51:46,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/6969,29/Nov/2017:13:51:49,GET /details.php?id=44 HTTP/1.1,200
10.128.2.1/7140,29/Nov/2017:13:57:04,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/9698,29/Nov/2017:14:04:57,GET /details.php?id=44 HTTP/1.1,200
10.131.2.1/6378,29/Nov/2017:14:05:10,GET /contest.php HTTP/1.1,200
10.131.2.1/9025,29/Nov/2017:14:05:12,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/5800,29/Nov/2017:14:05:16,GET /details.php?id=46 HTTP/1.1,200
10.131.2.1/5300,29/Nov/2017:14:05:22,GET /contest.php HTTP/1.1,200
10.131.2.1/5512,29/Nov/2017:14:05:24,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/644,29/Nov/2017:14:05:28,GET /details.php?id=42 HTTP/1.1,200
10.131.2.1/7494,29/Nov/2017:14:05:35,GET /contest.php HTTP/1.1,200
10.131.2.1/2462,29/Nov/2017:14:05:37,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/3495,29/Nov/2017:14:06:05,GET /details.php?id=45 HTTP/1.1,200
10.128.2.1/3341,29/Nov/2017:14:06:10,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.0.1/7835,29/Nov/2017:14:31:33,GET / HTTP/1.1,200
10.131.2.1/3728,29/Nov/2017:14:33:21,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/1355,29/Nov/2017:14:33:22,GET /css/bootstrap.min.css HTTP/1.1,304
10.128.2.1/7606,29/Nov/2017:14:33:22,GET /css/font-awesome.min.css HTTP/1.1,304
10.131.0.1/3376,29/Nov/2017:14:33:22,GET /css/normalize.css HTTP/1.1,304
10.131.2.1/8449,29/Nov/2017:14:33:22,GET /css/main.css HTTP/1.1,304
10.131.0.1/9276,29/Nov/2017:14:33:22,GET /css/style.css HTTP/1.1,304
10.128.2.1/9676,29/Nov/2017:14:33:23,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,304
10.131.2.1/7562,29/Nov/2017:14:33:23,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304
10.131.2.1/8807,29/Nov/2017:14:33:23,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,304
10.128.2.1/7479,29/Nov/2017:14:33:23,GET /js/vendor/moment.min.js HTTP/1.1,304
10.131.2.1/3720,29/Nov/2017:14:33:26,GET / HTTP/1.1,200
10.130.2.1/5424,29/Nov/2017:14:38:07,GET /compiler.php HTTP/1.1,200
10.130.2.1/7558,29/Nov/2017:14:38:08,GET /home.php HTTP/1.1,200
10.130.2.1/5291,29/Nov/2017:14:38:09,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,304
10.130.2.1/7167,29/Nov/2017:14:38:13,GET /compiler.php HTTP/1.1,200
10.128.2.1/4312,29/Nov/2017:14:38:40,GET /contest.php HTTP/1.1,200
10.128.2.1/251,29/Nov/2017:14:38:43,GET /home.php HTTP/1.1,200
10.129.2.1/2445,29/Nov/2017:14:52:51,GET /home.php HTTP/1.1,200
10.129.2.1/7779,29/Nov/2017:14:53:22,GET /compiler.php HTTP/1.1,200
10.129.2.1/5737,29/Nov/2017:14:53:24,GET /home.php HTTP/1.1,200
10.131.0.1/9604,29/Nov/2017:14:54:55,GET /home.php HTTP/1.1,200
10.128.2.1/8594,29/Nov/2017:14:55:46,GET /home.php HTTP/1.1,200
10.128.2.1/7354,29/Nov/2017:14:55:53,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,200
10.128.2.1/6577,29/Nov/2017:14:55:56,GET /home.php HTTP/1.1,200
10.128.2.1/9145,29/Nov/2017:14:56:00,GET /contest.php HTTP/1.1,200
10.128.2.1/6949,29/Nov/2017:14:56:04,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.128.2.1/4669,29/Nov/2017:14:56:08,GET /logout.php HTTP/1.1,302
10.129.2.1/9884,29/Nov/2017:14:56:08,GET /login.php HTTP/1.1,200
10.129.2.1/325,29/Nov/2017:14:56:17,POST /process.php HTTP/1.1,302
10.129.2.1/4749,29/Nov/2017:14:56:18,GET /home.php HTTP/1.1,200
10.131.0.1/5944,29/Nov/2017:15:00:05,GET /contest.php HTTP/1.1,200
10.131.2.1/2948,29/Nov/2017:15:00:53,GET / HTTP/1.1,200
10.131.2.1/7420,29/Nov/2017:15:00:53,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,304
10.131.2.1/3376,29/Nov/2017:15:00:55,GET /contest.php HTTP/1.1,200
10.131.2.1/1861,29/Nov/2017:15:01:00,GET /home.php HTTP/1.1,200
10.130.2.1/3668,29/Nov/2017:15:01:04,GET /contest.php HTTP/1.1,200
10.128.2.1/4136,29/Nov/2017:15:04:07,GET /contest.php HTTP/1.1,200
10.128.2.1/8725,29/Nov/2017:15:04:10,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.130.2.1/2676,29/Nov/2017:15:04:11,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1/2537,29/Nov/2017:15:04:31,GET /contest.php HTTP/1.1,200
10.130.2.1/6038,29/Nov/2017:15:04:34,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.130.2.1/8293,29/Nov/2017:15:04:35,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1/3863,29/Nov/2017:15:04:41,GET /home.php HTTP/1.1,200
10.130.2.1/6175,29/Nov/2017:15:05:11,GET /contest.php HTTP/1.1,200
10.130.2.1/2652,29/Nov/2017:15:05:19,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.131.2.1/3332,29/Nov/2017:15:05:20,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/9500,29/Nov/2017:15:05:24,GET /home.php HTTP/1.1,200
10.131.2.1/6749,29/Nov/2017:15:05:30,GET /contest.php HTTP/1.1,200
10.131.2.1/9645,29/Nov/2017:15:05:35,GET /home.php HTTP/1.1,200
10.128.2.1/6394,29/Nov/2017:15:07:26,GET /home.php HTTP/1.1,200
10.131.2.1/5923,29/Nov/2017:15:07:44,GET / HTTP/1.1,302
10.128.2.1/9435,29/Nov/2017:15:07:44,GET /login.php HTTP/1.1,200
10.128.2.1/8651,29/Nov/2017:15:07:45,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1/1799,29/Nov/2017:15:07:45,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.2.1/9663,29/Nov/2017:15:07:45,GET /css/main.css HTTP/1.1,200
10.130.2.1/9582,29/Nov/2017:15:07:45,GET /css/normalize.css HTTP/1.1,200
10.131.0.1/7893,29/Nov/2017:15:07:45,GET /css/style.css HTTP/1.1,200
10.128.2.1/4352,29/Nov/2017:15:07:45,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1/8745,29/Nov/2017:15:07:46,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.2.1/1095,29/Nov/2017:15:07:46,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1/492,29/Nov/2017:15:07:49,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
